,T_P proba
core_PEYPIU_freeONLY,0.0
gmof_Zn2O8N2-irmof6_A-irmof8_A_No22,0.0
BIMHUB01_FSR,0.0
QUHQEQ_FSR,0.0
QIVZAY_FSR,0.0
HOJLEY_FSR,0.0
gmof_Al2O6-AZO_B-irmof20_B_No197,0.0
WOGHEG_FSR,0.0
MOF-5_cooh_2_1314_1,0.0
QOXFUE_FSR,0.0
tobacco_srsb_sym_3_mc_0_sym_3_on_2__,0.0
core_IXURID_freeONLY,0.0
boydwoo_str_m1_o14_o24_pcu_sym_90,0.0
boydwoo_str_m3_o12_o28_pcu_sym_148,0.0
boydwoo_str_m7_o11_o11_bcu_sym_110,0.0
boydwoo_str_m7_Zn_o4_o4_bcu_sym_1,0.0
OVIDED_FSR,0.0
gmof_AlO6-mof177_No41,0.0
gmof_Uio66Zr-irmof12_A-irmof14_A_No8,0.0
core_SIZNIA_freeONLY,0.0
boydwoo_str_m3_o16_o22_pcu_sym_34,0.0
PAZXOD_FSR,0.0
gmof_AlO6-irmof20_A_No3,0.0
HICRUG_FSR,0.0
gmof_Zn2O8N2-DPAC_A-irmof6_A_No56,0.0
IGUVAJ_FSR,0.19135952201743148
EMAMOW_FSR,0.0
HUTKIS_FSR,0.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_96,0.0
QUHPOZ_FSR,0.0
boydwoo_str_m7_o8_o25_bcu_sym_246,0.0
core_FECWOB01_freeONLY,0.0
core_ROHWOC_freeONLY,0.0
QUZZES_FSR,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No260,0.0
boydwoo_str_m7_Zn_o13_o24_bcu_sym_60,0.0
core_LASWEJ_freeONLY,0.0
boydwoo_str_m7_o9_o10_bcu_sym_168,0.0
FOYFAC_FSR,0.0
gmof_ZnN4-SiF6-ADC_No1,0.08496478227945639
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_15,0.0
gmof_AlO6-mof177_No23,0.0
boydwoo_str_m7_Zn_o20_o23_bcu_sym_138,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No115,0.0
boydwoo_str_m3_o8_o24_pcu_sym_103,0.0
QUPZAE02_FSR,0.06766918146408947
boydwoo_str_m7_o9_o24_bcu_sym_35,0.0
GUTYAW_FSR,0.0
boydwoo_str_m7_Zn_o8_o17_bcu_sym_104,0.0
gmof_Uio66Zr-irmof6_A-irmof7_A_No123,0.0
QOHTOX_FSR,0.0
core_BOMCOX_freeONLY,0.0
boydwoo_str_m7_Zn_o4_o24_bcu_sym_230,0.0
FALCUR_FSR,0.0
HEJCOR_FSR,0.023686645098646143
MOF-5_cooh_2_1400_1,0.0
QULMUG_FSR,0.0
WECFAN_FSR,0.0
gmof_Zn4O13-BDC_A-irmof20_A_No542,0.0
UKUBIM_FSR,0.0
core_ESEVIH_freeONLY,0.07530669483023744
boydwoo_str_m7_o17_o26_bcu_sym_104,0.0
CAXREA01_FSR,0.0
gmof_Al2O6-irmof16_B-irmof20_B_No279,0.0
boydwoo_str_m4_Al_o20_o25_acs_sym_98,0.0
boydwoo_str_m7_Zn_o13_o24_bcu_sym_34,0.0
PADCEE_FSR,0.0
EYEYIR_FSR,0.0
gmof_Al2O6-ADC_B-irmof7_B_No8,0.0
core_HAXJEX_freeONLY,0.12470116164153268
boydwoo_str_m7_Zn_o10_o22_bcu_sym_42,0.0
BUWWAT_FSR,0.0
XAHJOI_FSR,0.0
tobacco_srsb_sym_3_mc_0_sym_3_on_0_L_12,0.0
BOWQEK_FSR,0.0
gmof_Al2O6-AZO_B-irmof20_B_No263,0.0
WEMMEI_FSR,0.0
BOFKAJ_FSR,0.0
gmof_Uio66Zr-BDC_A-irmof6_A_No105,0.0
JOFKOF_FSR,0.0
NETYAP_FSR,0.0
LIXRIV_FSR,0.0
NUXLUN01_FSR,0.0
boydwoo_str_m1_o14_o22_pcu_sym_21,0.0
boydwoo_str_m5_Al_o3_o25_sra_sym_135,0.0
boydwoo_str_m3_o14_o24_pcu_sym_26,0.0
DAPMAK_FSR,0.0
gmof_Zn2O8-ADC_A-irmof20_A_No178,0.0
KAKTIC01_FSR,0.0
WADFEP_FSR,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_7_L_15,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_6_L_20,0.0
gmof_Uio66Zr-irmof20_A-irmof8_A_No77,0.0
gmof_Zn2O8N2-irmof20_A-irmof6_A_No253,0.0
gmof_Uio66Zr-irmof20_A_No10,0.0
NUXMEY01_FSR,0.0
QOXFOY_FSR,0.0
MINLOM_FSR,0.0
tobacco_srsb_sym_3_mc_0_sym_3_on_2_L_16,0.0
EBOBUV_FSR,0.0
CILXIH01_FSR,0.1829662270333172
DEDKEE_FSR,0.0
CAYSEB01_FSR,0.0
boydwoo_str_m1_o9_o24_pcu_sym_14,0.0
POPQOC_FSR,0.0
boydwoo_str_m7_Zn_o8_o23_bcu_sym_225,0.0
HAMQIY_FSR,0.0
tobacco_bor_sym_3_mc_0_sym_4_on_8__,0.0
BEPDUW_FSR,0.0
CIDZOG_FSR,0.0
JIZCON_FSR,0.0
OGAGEL_FSR,0.0
gmof_Zn4O13-irmof20_A-irmof6_A_No118,0.0
boydwoo_str_m3_o17_o25_pcu_sym_15,0.0
boydwoo_str_m7_Zn_o1_o22_bcu_sym_5,0.0
POPLOW_FSR,0.0
boydwoo_str_m7_Zn_o8_o25_bcu_sym_232,0.0
NEHCAG_FSR,0.0
gmof_Al2O6-irmof10_B-irmof6_B_No9,0.0
boydwoo_str_m7_Zn_o17_o26_bcu_sym_77,0.0
NUYWOU_FSR,0.17173659404924127
gmof_AlO6-irmof20_A_No14,0.0
BUWWUN_FSR,0.0
gmof_Al2O6-ADC_B-fum_B_No249,0.0
KAKSAT01_FSR,0.0
HADMAD01_FSR,0.0
MOF-5_cooh_2_1239_1,0.0
CAZXIN_FSR,0.0
DIDBEZ_FSR,0.19689861434630204
boydwoo_str_m7_o20_o23_bcu_sym_158,0.0
